region,latitude,longitude,dist_city,dist_airport,dist_railway
69,28.78319072633599,77.38378384312207,25396.352253548423,37464.86960209096,22322.56614893915
70,28.797414919877824,77.36404016889784,25397.7000519459,37187.6195900563,22180.028668925646
71,28.809871764421768,77.34280337309353,25399.303382487997,36832.52928124855,22072.794266802128
72,28.820441293745272,77.32027797766197,25400.994649600187,36400.68680527044,22002.234137047235
73,28.82902171750305,77.2966809144748,25402.603092482554,35893.441168510304,21969.19906785357
74,28.83553040152378,77.27223943614997,25403.969771668962,35312.41704506169,21974.007673770186
75,28.839904663622338,77.24718892748483,25404.961481291793,34659.53202531996,22016.449973051254
76,28.842102377263494,77.22177063857181,25405.482386789223,33937.01642661355,22095.805247219687
77,28.842102377263494,77.1962293614282,25405.482386789223,33147.4359923542,22210.872206342512
78,28.839904663622338,77.17081107251518,25404.961481291793,32293.718119010562,22360.008848164463
79,28.83553040152378,77.14576056385003,25403.969771668962,31379.182671439907,22541.17910703295
80,28.82902171750305,77.1213190855252,25402.603092482554,30407.57899947397,22752.003440189765
81,28.820441293745272,77.09772202233803,25400.994649600187,29383.131481651188,22989.810837580935
82,28.809871764421768,77.07519662690648,25399.303382487997,28310.596832933057,23251.690270894913
83,28.797414919877824,77.05395983110216,25397.7000519459,27195.337565412898,23534.540207685382
84,28.78319072633599,77.03421615687793,25396.352253548423,26043.417425808406,23835.115405689434
85,28.767336170555822,77.01615574660951,25395.40965373053,24861.726367257907,24150.070694424867
86,28.750003940576455,76.99995253192066,25394.99073009387,23658.14458157547,24476.001801947496
87,28.731360955247357,76.98576255862636,25395.17217027653,22441.7570560287,24809.48348256662
88,28.711586756708535,76.9737224839265,25395.981854350754,21223.13130666475,25147.10525964756
89,28.6908717813016,76.9639482603222,25397.396034127247,20014.669717935336,25485.50504702872
90,28.66941552556367,76.9565340189299,25399.340956267504,18831.040814715678,25821.40079077381
91,28.647424624966693,76.95155116294725,25401.698787922724,17689.674200972484,26151.620118551044
92,28.625110863904858,76.94904768000127,25404.31732882796,16611.260718572667,26473.127830505942
93,28.602689136095144,76.94904768000127,25407.02266601698,15620.11775930351,26783.050939080564
94,28.58037537503331,76.95155116294725,25409.633675541463,14744.149996435905,27078.700883409863
95,28.55838447443633,76.9565340189299,25411.977121033313,14013.982213662548,27357.592515799788
96,28.536928218698403,76.9639482603222,25413.9020537557,13460.773841932301,27617.459485411484
97,28.516213243291467,76.9737224839265,25415.292285054198,13112.47035561812,27856.265723798577
98,28.496439044752645,76.98576255862636,25416.07587237644,12989.004377830299,28072.2128602287
99,28.477796059423547,76.99995253192066,25416.230818483942,13097.994570613928,28263.743550698975
100,28.46046382944418,77.01615574660951,25415.786507513214,13432.904709536248,28429.540880240867
101,28.44460927366401,77.03421615687793,25414.82076401506,13974.634933386276,28568.52417983537
102,28.43038508012218,77.05395983110216,25413.45279214713,14695.69767961701,28679.841773235137
103,28.417928235578234,77.07519662690648,25411.832601489685,15565.03925649708,28762.861322148536
104,28.40735870625473,77.09772202233803,25410.12782499857,16551.894206769703,28817.158559099134
105,28.398778282496952,77.1213190855252,25408.509058104515,17628.085018824902,28842.505275888234
106,28.392269598476222,77.14576056385003,25407.13497686036,18768.97358420493,28838.857465133904
107,28.387895336377664,77.17081107251518,25406.1385150194,19953.549608292178,28806.344488380193
108,28.385697622736508,77.1962293614282,25405.615291993596,21164.0885489919,28745.26006613844
109,28.385697622736508,77.22177063857181,25405.615291993596,22385.65958022234,28656.055755463338
110,28.387895336377664,77.24718892748483,25406.1385150194,23605.631356228736,28539.33740527493
111,28.392269598476222,77.27223943614997,25407.13497686036,24813.238465992767,28395.864867685865
112,28.398778282496952,77.2966809144748,25408.509058104515,25999.22604042827,28226.55500646558
113,28.40735870625473,77.32027797766197,25410.12782499857,27155.56910904592,28032.487794508677
114,28.417928235578234,77.34280337309353,25411.832601489685,28275.255563742165,27814.915044455607
115,28.43038508012218,77.36404016889784,25413.45279214713,29352.120086486684,27575.27108365414
116,28.44460927366401,77.38378384312207,25414.82076401506,30380.717486614674,27315.18447849182
117,28.46046382944418,77.4018442533905,25415.786507513214,31356.22581406905,27036.489743756407
118,28.477796059423547,77.41804746807935,25416.230818483942,32274.371598768637,26741.237847565037
